Title,Authors,zbMATH_ID,Keywords,MSCs,Refrences,Full text link
Integral representations for harmonic functions of infinite order in a cone.,"('Qiao, Lei',)",6104257,"[{'text': 'integral representation', 'type': 'uncontrolled'}, {'text': 'harmonic function', 'type': 'uncontrolled'}, {'text': 'cone', 'type': 'uncontrolled'}]","[{'code': '31B10', 'scheme': 'msc2020', 'text': 'Integral representations, integral operators, integral equations methods in higher dimensions'}, {'code': '31C05', 'scheme': 'msc2020', 'text': 'Harmonic, subharmonic, superharmonic functions on other spaces'}]",11,['10.1007/s00025-010-0076-7']
Jacobi spectral solution for integral algebraic equations of index-2.,"('Hadizadeh, M.', 'Ghoreishi, F.', 'Pishbin, S.')",1206.6526,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1016/j.apnum.2010.08.009
Jacobi spectral solution for weakly singular integral algebraic equations of index 1.,"('Zhao, Jingjun', 'Wang, Shiying')",1343.6515,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1186/1687-1847-2014-165
Large subgroups and small homomorphisms.,"('Megibben, C.',)",166.02502,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1307/mmj/1028999539
Multi-commodity source location problems and price of greed.,"('Ito, Hiro', 'Paterson, Mike', 'Sugihara, Kenya')",5252761,"[{'text': 'Source location problem', 'type': 'uncontrolled'}, {'text': 'price of greed', 'type': 'uncontrolled'}]","[{'code': '90B80', 'scheme': 'msc2020', 'text': 'Discrete location and assignment'}, {'code': '91A43', 'scheme': 'msc2020', 'text': 'Games involving graphs'}]",1,['10.1007/978-3-540-77891-2_16']
Multi-sublinear fractional maximal operator and multilinear fractional integral operators on generalized Morrey spaces.,"('Guliyev, Vagif S.', 'Ismayilova, Afag F.')",6863683,"[{'text': 'multi-sublinear fractional maximal operator', 'type': 'uncontrolled'}, {'text': 'generalized Morrey space', 'type': 'uncontrolled'}, {'text': 'multilinear fractional integral operator', 'type': 'uncontrolled'}]","[{'code': '42B20', 'scheme': 'msc2020', 'text': 'Singular and oscillatory integrals (CalderÃ³n-Zygmund, etc.)'}, {'code': '42B25', 'scheme': 'msc2020', 'text': 'Maximal functions, Littlewood-Paley theory'}, {'code': '42B35', 'scheme': 'msc2020', 'text': 'Function spaces arising in harmonic analysis'}]",0,No doi or fulltext link available
"NON-DEGENERATE HYPERSURFACES OF A
 
  SEMI-RIEMANNIAN MANIFOLD WITH A
 
  SEMI-SYMMETRIC NON-METRIC CONNECTION","('Yasar, Erol','YÃ¼cesan, Ahmet')",Case-B-Yucesan-Yasar-2012-MRBuc,No keywords available,No MSCs available,No refrences available,https://www.csm.ro/reviste/Mathematical_Reports/Pdfs/2012/2/Erol_YASAR.pdf
Noncommutative Grassmannian \(U(1)\) sigma-model and Bargmann-Fock space.,"('Komlov, Aleksandr',)",5258159,No keywords available,"[{'code': '81T10', 'scheme': 'msc2020', 'text': 'Model quantum field theories'}, {'code': '81T75', 'scheme': 'msc2020', 'text': 'Noncommutative geometry methods in quantum field theory'}, {'code': '14M15', 'scheme': 'msc2020', 'text': 'Grassmannians, Schubert varieties, flag manifolds'}, {'code': '51M35', 'scheme': 'msc2020', 'text': 'Synthetic treatment of fundamental manifolds in projective geometries (Grassmannians, Veronesians and their generalizations)'}]",0,No doi or fulltext link available
Norm inequalities of ÄŒebyÅ¡ev type for power series in Banach algebras.,"('Dragomir, Silvestru S.', 'Boldea, Marius V.', 'BuÅŸe, Constantin', 'Megan, Mihail')",6415773,"[{'text': 'Banach algebras', 'type': 'uncontrolled'}, {'text': 'power series', 'type': 'uncontrolled'}, {'text': 'exponential function', 'type': 'uncontrolled'}, {'text': 'resolvent function', 'type': 'uncontrolled'}, {'text': 'norm inequalities', 'type': 'uncontrolled'}, {'text': 'Chebyshev type difference', 'type': 'uncontrolled'}]","[{'code': '47A63', 'scheme': 'msc2020', 'text': 'Linear operator inequalities'}, {'code': '47A99', 'scheme': 'msc2020', 'text': 'General theory of linear operators'}, {'code': '26D15', 'scheme': 'msc2020', 'text': 'Inequalities for sums, series and integrals'}]",1,['10.1186/1029-242X-2014-294']
Numerical solution of nonlinear Fredholm integrodifferential equations by hybrid of block-pulse functions and normalized Bernstein polynomials.,"('Behiry, S. H.',)",6306818,No keywords available,"[{'code': '65R20', 'scheme': 'msc2020', 'text': 'Numerical methods for integral equations'}, {'code': '45J05', 'scheme': 'msc2020', 'text': 'Integro-ordinary differential equations'}]",1,['10.1155/2013/416757']
On commutator socle-regular Abelian \(p\)-groups.,"('Danchev, Peter', 'Goldsmith, Brendan')",6342875,"[{'text': 'Abelian \\(p\\)-groups', 'type': 'uncontrolled'}, {'text': 'endomorphisms', 'type': 'uncontrolled'}, {'text': 'additive commutators', 'type': 'uncontrolled'}, {'text': 'fully invariant subgroups', 'type': 'uncontrolled'}, {'text': 'socles', 'type': 'uncontrolled'}, {'text': 'idempotent endomorphisms', 'type': 'uncontrolled'}, {'text': 'commutator invariant subgroups', 'type': 'uncontrolled'}, {'text': 'projection invariant subgroups', 'type': 'uncontrolled'}, {'text': 'commutator socle-regular Abelian groups', 'type': 'uncontrolled'}]","[{'code': '20K10', 'scheme': 'msc2020', 'text': 'Torsion groups, primary groups and generalized primary groups'}, {'code': '20K27', 'scheme': 'msc2020', 'text': 'Subgroups of abelian groups'}, {'code': '20K30', 'scheme': 'msc2020', 'text': 'Automorphisms, homomorphisms, endomorphisms, etc. for abelian groups'}]",5,['10.1515/jgt-2014-0003']
